kind,rail_hz,band,total_hits,endpoint_hits,grid_hits,skin_count,variant_count,top_stages,top_states,nearest_table,nearest_table_label,nearest_table_target_hz,nearest_table_cents
pole,2.0,sub,910,330,910,17,63,S6:162;S5:161;S1:160;S3:150,GRID:580;HOME:330,,,,
zero,2.0,sub,868,325,868,17,63,S4:151;S5:149;S1:147;S3:145,GRID:543;PUSH_HOME:325,,,,
pole,780.0,mouth,203,179,203,31,71,S6:36;S3:36;S1:36;S2:33,PUSH_AWAY:173;GRID:24;AWAY:2;HOME:2;PUSH_HOME:2,,,,
zero,780.0,mouth,198,175,198,31,74,S1:40;S3:38;S2:35;S4:32,AWAY:174;GRID:21;CENTER:2;PUSH_AWAY:1,,,,
zero,785.0,mouth,157,133,157,30,64,S1:35;S6:32;S2:30;S5:23,AWAY:121;GRID:24;PUSH_HOME:4;PUSH_AWAY:4;HOME:4,,,,
pole,785.0,mouth,143,129,143,27,60,S3:32;S2:25;S5:25;S4:24,PUSH_AWAY:129;GRID:14,,,,
zero,4130.0,tear,115,50,115,28,36,S6:110;S1:3;S5:2,GRID:65;PUSH_AWAY:18;PUSH_HOME:14;AWAY:12;HOME:6,tube,oo_25cm:p6,4116.0,5.88
zero,8250.0,air,115,50,115,28,35,S6:110;S5:3;S4:2,GRID:65;PUSH_AWAY:18;PUSH_HOME:15;AWAY:11;HOME:6,tube,oo_10cm:p5,8575.0,66.89
zero,17950.0,air,107,50,107,26,28,S6:105;S1:1;S5:1,GRID:57;PUSH_AWAY:17;PUSH_HOME:16;AWAY:11;HOME:6,,,,
zero,16500.0,air,106,48,106,27,27,S6:105;S5:1,GRID:58;PUSH_AWAY:17;PUSH_HOME:14;AWAY:11;HOME:6,,,,
pole,3790.0,tear,55,43,55,24,32,S5:14;S2:12;S6:10;S4:7,PUSH_HOME:40;GRID:11;CENTER:1;HOME:1;PUSH_AWAY:1,tube,oo_18cm:p4,3811.0,9.57
zero,790.0,mouth,56,43,56,24,38,S4:16;S2:15;S5:8;S1:7,AWAY:40;GRID:13;PUSH_AWAY:3,,,,
zero,9650.0,air,268,43,268,16,18,S5:55;S1:55;S2:52;S4:51,GRID:213;HOME:13;CENTER:12;AWAY:10;PUSH_HOME:10,,,,
zero,134.0,low,82,41,82,19,41,S6:18;S2:16;S4:15;S3:13,GRID:40;HOME:14;AWAY:11;PUSH_HOME:10;PUSH_AWAY:6,,,,
zero,8875.0,air,260,41,260,9,11,S4:53;S1:51;S5:51;S2:50,GRID:209;AWAY:11;HOME:10;CENTER:10;PUSH_HOME:10,tube,oo_10cm:p5,8575.0,59.53
pole,134.0,low,108,40,108,28,61,S6:25;S2:23;S3:17;S5:16,GRID:66;PUSH_HOME:14;AWAY:10;HOME:9;PUSH_AWAY:7,,,,
zero,2220.0,bite,262,40,262,12,13,S4:54;S3:53;S1:52;S5:51,GRID:212;HOME:10;AWAY:10;CENTER:10;PUSH_HOME:10,mullen,u:f3,2219.0,0.78
zero,4440.0,tear,262,40,262,12,13,S4:53;S1:52;S2:51;S3:51,GRID:212;HOME:10;AWAY:10;CENTER:10;PUSH_HOME:10,tube,co_18cm:p5,4287.0,60.71
zero,545.0,low-mid,89,30,89,34,44,S3:39;S1:20;S2:13;S4:9,GRID:57;HOME:10;AWAY:9;PUSH_AWAY:6;PUSH_HOME:5,mullen,e:f1,542.0,9.56
zero,3790.0,tear,37,30,37,17,23,S6:9;S5:8;S1:6;S4:5,HOME:29;GRID:7;PUSH_HOME:1,tube,oo_18cm:p4,3811.0,9.57
pole,450.0,low-mid,76,28,76,31,44,S4:19;S2:16;S6:15;S5:10,GRID:45;AWAY:11;PUSH_HOME:9;PUSH_AWAY:7;CENTER:3,vowel,uu:f1,440.0,38.91
pole,790.0,mouth,45,28,45,27,38,S1:11;S2:10;S5:8;S3:7,PUSH_AWAY:27;GRID:16;CENTER:1;HOME:1,,,,
pole,430.0,low-mid,110,25,110,29,55,S2:30;S5:22;S6:19;S1:16,GRID:81;PUSH_HOME:20;CENTER:4;AWAY:2;PUSH_AWAY:2,vowel,uu:f1,440.0,39.8
pole,365.0,low-mid,86,22,86,34,59,S2:17;S3:17;S6:16;S1:13,GRID:56;HOME:9;PUSH_AWAY:8;CENTER:8;AWAY:3,klatt,u:f1,350.0,72.65
zero,450.0,low-mid,56,22,56,21,36,S2:13;S6:11;S3:9;S1:8,GRID:34;PUSH_AWAY:12;HOME:10,vowel,uu:f1,440.0,38.91
zero,320.0,low-mid,87,20,87,33,53,S1:26;S2:25;S5:13;S4:10,GRID:53;CENTER:14;AWAY:8;HOME:6;PUSH_AWAY:3,,,,
zero,2180.0,bite,61,19,61,24,30,S3:30;S4:15;S1:8;S2:6,GRID:41;AWAY:5;PUSH_AWAY:5;HOME:5;PUSH_HOME:4,klatt,u:f3,2200.0,15.81
pole,5450.0,tear,39,18,39,20,26,S1:11;S5:9;S4:8;S3:4,GRID:20;PUSH_HOME:16;PUSH_AWAY:1;AWAY:1;CENTER:1,tube,oo_18cm:p6,5717.0,82.8
pole,410.0,low-mid,92,17,92,32,50,S1:26;S3:20;S2:18;S6:11,GRID:74;PUSH_HOME:6;AWAY:4;HOME:4;PUSH_AWAY:3,,,,
pole,200.0,low,62,17,62,28,44,S2:23;S6:10;S3:9;S5:9,GRID:43;PUSH_HOME:7;HOME:5;AWAY:4;CENTER:2,,,,
zero,1090.0,mouth,64,17,64,24,35,S3:33;S1:14;S2:7;S4:6,GRID:46;HOME:6;AWAY:4;PUSH_AWAY:4;PUSH_HOME:3,vowel,aa:f2,1090.0,0.0
zero,5450.0,tear,51,17,51,23,31,S4:24;S5:12;S6:6;S2:4,GRID:32;HOME:15;CENTER:2;PUSH_HOME:2,tube,oo_18cm:p6,5717.0,82.8
pole,545.0,low-mid,66,16,66,34,50,S5:15;S6:14;S3:12;S2:10,GRID:50;AWAY:9;PUSH_HOME:6;HOME:1,mullen,e:f1,542.0,9.56
zero,2840.0,bite,48,16,48,25,27,S4:12;S6:11;S5:11;S1:6,GRID:31;PUSH_AWAY:8;HOME:4;PUSH_HOME:2;AWAY:2,tube,oo_18cm:p3,2858.0,10.94
zero,365.0,low-mid,63,16,63,20,35,S1:20;S3:15;S5:10;S2:8,GRID:44;AWAY:7;PUSH_HOME:7;CENTER:3;PUSH_AWAY:2,klatt,u:f1,350.0,72.65
zero,680.0,low-mid,38,16,38,19,26,S4:11;S1:9;S2:7;S5:4,GRID:19;AWAY:8;PUSH_HOME:4;HOME:3;CENTER:3,tube,oo_50cm:p2,686.0,15.21
pole,440.0,low-mid,70,15,70,36,54,S3:15;S4:14;S2:13;S1:11,GRID:55;HOME:5;PUSH_HOME:4;PUSH_AWAY:4;AWAY:2,vowel,uu:f1,440.0,0.0
zero,1420.0,mouth,73,15,73,29,39,S4:39;S2:13;S1:8;S6:5,GRID:57;AWAY:4;PUSH_AWAY:4;HOME:4;PUSH_HOME:3,tube,co_18cm:p2,1429.0,10.94
zero,430.0,low-mid,84,15,84,25,47,S3:16;S1:15;S2:15;S6:14,GRID:67;HOME:14;CENTER:2;PUSH_HOME:1,vowel,uu:f1,440.0,39.8
zero,2010.0,bite,44,15,44,22,30,S3:18;S4:10;S2:7;S6:5,GRID:29;PUSH_HOME:7;HOME:4;AWAY:3;PUSH_AWAY:1,vowel,ih:f2,1990.0,17.31
zero,12375.0,air,24,15,24,16,19,S6:11;S5:6;S1:5;S3:1,GRID:9;PUSH_AWAY:9;PUSH_HOME:3;AWAY:3,,,,
pole,345.0,low-mid,72,14,72,33,48,S3:24;S2:16;S6:9;S4:8,GRID:55;PUSH_HOME:4;HOME:4;PUSH_AWAY:4;CENTER:3,tube,oo_50cm:p1,343.0,10.07
zero,1400.0,mouth,57,14,57,30,38,S2:22;S1:9;S4:9;S5:8,GRID:42;AWAY:5;HOME:5;PUSH_HOME:3;PUSH_AWAY:1,tube,oo_50cm:p4,1372.0,34.98
zero,710.0,mouth,76,14,76,29,36,S4:27;S2:15;S5:10;S3:9,GRID:61;AWAY:4;PUSH_AWAY:4;HOME:3;PUSH_HOME:3,klatt,a:f1,700.0,24.56
zero,360.0,low-mid,89,14,89,28,41,S1:37;S2:26;S5:9;S4:7,GRID:69;CENTER:6;PUSH_HOME:4;AWAY:4;PUSH_AWAY:3,klatt,u:f1,350.0,48.77
pole,2030.0,bite,47,14,47,27,36,S3:11;S5:10;S4:8;S6:7,GRID:33;AWAY:5;PUSH_HOME:5;PUSH_AWAY:3;HOME:1,tube,oo_50cm:p6,2058.0,23.72
zero,1820.0,bite,45,14,45,21,26,S5:15;S4:12;S2:6;S6:6,GRID:30;HOME:6;PUSH_HOME:4;AWAY:2;PUSH_AWAY:2,vowel,eh:f2,1840.0,18.92
zero,590.0,low-mid,24,14,24,12,18,S1:10;S2:6;S3:3;S4:3,GRID:10;PUSH_HOME:9;AWAY:5,vowel,ao:f1,570.0,59.7
pole,13300.0,air,17,14,17,8,11,S1:4;S3:4;S4:3;S5:3,PUSH_HOME:13;GRID:3;AWAY:1,,,,
pole,1040.0,mouth,72,13,72,37,60,S3:17;S6:15;S2:14;S5:10,GRID:58;AWAY:6;PUSH_AWAY:3;PUSH_HOME:3;CENTER:1,tube,oo_50cm:p3,1029.0,18.41
pole,400.0,low-mid,58,13,58,32,41,S2:20;S3:9;S1:9;S5:7,GRID:44;PUSH_HOME:7;AWAY:4;PUSH_AWAY:1;HOME:1,vowel,ih:f1,390.0,43.83
pole,1440.0,mouth,60,13,60,31,47,S3:15;S4:12;S5:10;S1:9,GRID:45;PUSH_AWAY:4;AWAY:4;HOME:3;PUSH_HOME:2,tube,co_18cm:p2,1429.0,13.28
pole,680.0,low-mid,41,13,41,30,38,S6:10;S2:9;S4:8;S3:6,GRID:28;PUSH_AWAY:9;AWAY:2;HOME:1;PUSH_HOME:1,tube,oo_50cm:p2,686.0,15.21
pole,605.0,low-mid,48,13,48,29,38,S6:11;S5:9;S2:8;S3:8,GRID:32;AWAY:8;PUSH_HOME:3;CENTER:3;PUSH_AWAY:2,mullen,o:f1,615.0,28.38
pole,620.0,low-mid,56,13,56,28,38,S2:19;S3:16;S6:8;S1:5,GRID:42;PUSH_HOME:7;AWAY:3;PUSH_AWAY:2;CENTER:1,mullen,o:f1,615.0,14.02
zero,1190.0,mouth,50,13,50,26,30,S2:23;S1:7;S3:6;S4:5,GRID:36;PUSH_AWAY:5;AWAY:4;HOME:3;CENTER:1,vowel,uh:f2,1190.0,0.0
zero,460.0,low-mid,52,13,52,23,37,S4:14;S3:13;S2:10;S5:7,GRID:39;AWAY:6;PUSH_HOME:4;HOME:2;PUSH_AWAY:1,tube,co_18cm:p1,476.0,59.19
zero,1280.0,mouth,42,13,42,20,28,S2:19;S4:10;S1:8;S5:2,GRID:29;AWAY:7;HOME:2;PUSH_HOME:2;PUSH_AWAY:2,klatt,u:f2,1250.0,41.06
