freq_hz,s0_db,s1_db,s2_db,s3_db,s4_db,s5_db,composite_db
# M0_Q0
20.00,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
20.27,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
20.54,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
20.82,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
21.10,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
21.39,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
21.68,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
21.97,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
22.27,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
22.57,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
22.87,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
23.18,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
23.49,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
23.81,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
24.13,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
24.46,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
24.79,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
25.12,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
25.46,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
25.81,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
26.16,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
26.51,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
26.87,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
27.23,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
27.60,32.48,12.62,-2.29,-5.23,-8.33,-29.28,12.02
27.97,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
28.35,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
28.73,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
29.12,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
29.51,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
29.91,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
30.32,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
30.73,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
31.14,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
31.56,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
31.99,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
32.42,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
32.86,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
33.30,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
33.75,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
34.21,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
34.67,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
35.14,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
35.61,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
36.09,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
36.58,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
37.08,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
37.58,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
38.08,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
38.60,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
39.12,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
39.65,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.02
40.18,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.01
40.73,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.01
41.28,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.01
41.83,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.01
42.40,32.47,12.62,-2.29,-5.23,-8.33,-29.28,12.01
