"# RAW ARMAdillo bytes, 4-byte stage blueprint. DECODE TO Hz/radius UNVERIFIED (golden test failed)."
cube,corner_id,routing0,routing1,stage,pole_k1,pole_k2,zero_k1,zero_k2
0,000,255,245,0,85,85,85,85
0,000,255,245,1,85,85,85,95
0,000,255,245,2,255,255,245,95
0,000,255,245,3,255,255,255,255
0,000,255,245,4,255,255,255,245
0,000,255,245,5,85,85,85,85
0,000,255,245,6,85,85,85,95
0,100,245,85,0,85,95,255,255
0,100,245,85,1,255,255,255,255
0,100,245,85,2,255,245,85,95
0,100,245,85,3,255,245,85,85
0,100,245,85,4,85,85,85,85
0,100,245,85,5,85,95,255,255
0,100,245,85,6,245,95,255,255
0,010,255,255,0,255,255,255,255
0,010,255,255,1,239,255,255,191
0,010,255,255,2,255,251,255,250
0,010,255,255,3,175,255,254,255
0,010,255,255,4,110,247,119,117
0,010,255,255,5,110,187,237,123
0,010,255,255,6,117,106,213,110
0,110,246,213,0,187,223,190,239
0,110,246,213,1,190,255,251,239
0,110,246,213,2,187,239,255,253
0,110,246,213,3,238,255,255,255
0,110,246,213,4,255,247,187,223
0,110,246,213,5,255,253,221,251
0,110,246,213,6,189,190,239,125
0,001,222,239,0,245,127,253,223
0,001,222,239,1,255,246,191,255
0,001,222,239,2,215,255,250,222
0,001,222,239,3,247,239,110,247
0,001,222,239,4,187,189,221,255
0,001,222,239,5,251,190,239,123
0,001,222,239,6,255,255,191,127
0,101,251,223,0,255,186,238,253
0,101,251,223,1,251,255,111,238
0,101,251,223,2,247,95,187,219
0,101,251,223,3,110,239,250,255
0,101,251,223,4,246,247,255,182
0,101,251,223,5,191,251,107,255
0,101,251,223,6,255,187,191,181
0,011,187,222,0,187,189,189,255
0,011,187,222,1,250,254,239,127
0,011,187,222,2,127,255,245,255
0,011,187,222,3,239,111,255,182
0,011,187,222,4,238,245,127,253
0,011,187,222,5,247,238,247,95
0,011,187,222,6,187,219,123,191
0,111,246,255,0,247,191,255,94
0,111,246,255,1,191,250,247,255
0,111,246,255,2,255,123,189,118
0,111,246,255,3,238,247,123,189
0,111,246,255,4,239,239,254,254
0,111,246,255,5,239,126,255,253
0,111,246,255,6,125,255,247,127
1,000,255,111,0,251,189,190,239
1,000,255,111,1,109,190,239,251
1,000,255,111,2,127,253,247,255
1,000,255,111,3,173,191,250,219
1,000,255,111,4,255,255,190,247
1,000,255,111,5,117,238,254,190
1,000,255,111,6,239,127,239,254
1,100,255,187,0,215,127,255,245
1,100,255,187,1,255,235,127,255
1,100,255,187,2,106,170,175,183
1,100,255,187,3,250,170,170,170
1,100,255,187,4,170,170,170,170
1,100,255,187,5,175,255,255,250
1,100,255,187,6,175,255,255,255
1,010,255,255,0,255,255,255,239
1,010,255,255,1,253,255,191,223
1,010,255,255,2,251,255,122,175
1,010,255,255,3,247,254,251,181
1,010,255,255,4,183,107,237,119
1,010,255,255,5,239,123,119,214
1,010,255,255,6,234,213,110,246
1,110,213,187,0,223,219,189,239
1,110,213,187,1,239,254,254,239
1,110,213,187,2,127,255,253,238
1,110,213,187,3,255,246,223,255
1,110,213,187,4,251,187,223,255
1,110,213,187,5,253,223,238,247
1,110,213,187,6,95,187,219,123
1,001,191,245,0,255,246,255,255
1,001,191,245,1,91,127,245,183
1,001,191,245,2,255,255,123,189
1,001,191,245,3,235,187,223,123
1,001,191,245,4,189,239,255,253
1,001,191,245,5,254,239,110,255
1,001,191,245,6,255,219,255,221
1,101,191,255,0,247,187,223,183
1,101,191,255,1,255,175,251,189
1,101,191,255,2,190,239,109,222
1,101,191,255,3,239,254,255,250
1,101,191,255,4,255,255,91,127
1,101,191,255,5,245,183,255,255
1,101,191,255,6,123,191,119,187
1,011,222,222,0,239,247,255,255
1,011,222,222,1,127,187,238,255
1,011,222,222,2,255,119,255,223
1,011,222,222,3,127,255,107,187
1,011,222,222,4,221,183,255,127
1,011,222,222,5,238,247,95,187
1,011,222,222,6,219,94,239,251
1,111,127,255,0,191,255,254,191
1,111,127,255,1,255,247,255,255
1,111,127,255,2,94,247,118,238
1,111,127,255,3,247,94,239,87
1,111,127,255,4,255,245,127,187
1,111,127,255,5,219,127,255,123
1,111,127,255,6,255,253,191,255
2,000,221,251,0,189,190,239,117
2,000,221,251,1,219,191,218,255
2,000,221,251,2,247,183,255,253
2,000,221,251,3,127,255,107,255
2,000,221,251,4,255,219,191,183
2,000,221,251,5,187,222,219,189
2,000,221,251,6,221,255,251,190
2,100,239,111,0,191,255,247,255
2,100,239,111,1,215,223,255,218
2,100,239,111,2,170,175,223,245
2,100,239,111,3,85,85,85,85
2,100,239,111,4,85,85,85,95
2,100,239,111,5,255,255,245,95
2,100,239,111,6,255,255,255,255
2,010,255,255,0,255,251,255,127
2,010,255,255,1,239,255,239,251
2,010,255,255,2,255,122,175,255
2,010,255,255,3,191,247,106,238
2,010,255,255,4,183,119,239,118
2,010,255,255,5,189,239,107,213
2,010,255,255,6,106,219,190,251
2,110,238,251,0,251,189,239,239
2,110,238,251,1,254,254,239,123
2,110,238,251,2,255,255,255,255
2,110,238,251,3,254,255,255,251
2,110,238,251,4,187,223,255,253
2,110,238,251,5,247,251,191,95
2,110,238,251,6,187,237,251,191
2,001,183,127,0,255,191,255,186
2,001,183,127,1,255,245,191,255
2,001,183,127,2,237,219,191,91
2,001,183,127,3,187,219,126,239
2,001,183,127,4,127,239,255,191
2,001,183,127,5,187,247,255,253
2,001,183,127,6,254,255,254,191
2,101,255,222,0,238,245,191,255
2,101,255,222,1,223,238,247,95
2,101,255,222,2,187,219,123,191
2,101,255,222,3,183,127,255,191
2,101,255,222,4,255,234,255,245
2,101,255,222,5,191,255,253,174
2,101,255,222,6,247,183,187,219
2,011,123,189,0,247,255,253,254
2,011,123,189,1,239,127,127,255
2,011,123,189,2,251,255,247,127
2,011,123,189,3,255,86,238,245
2,011,123,189,4,191,255,87,251
2,011,123,189,5,189,190,239,109
2,011,123,189,6,222,239,219,127
2,111,255,191,0,255,127,191,251
2,111,255,191,1,127,255,251,126
2,111,255,191,2,246,219,187,221
2,111,255,191,3,222,239,95,239
2,111,255,191,4,255,191,187,219
2,111,255,191,5,255,254,187,255
2,111,255,191,6,221,191,255,221
3,000,251,189,0,190,239,117,187
3,000,251,189,1,191,182,255,253
3,000,251,189,2,247,255,183,191
3,000,251,189,3,251,127,255,251
3,000,251,189,4,94,247,239,110
3,000,251,189,5,251,110,239,93
3,000,251,189,6,255,253,254,239
3,100,123,127,0,255,255,127,237
3,100,123,127,1,223,255,170,170
3,100,123,127,2,171,127,245,85
3,100,123,127,3,85,85,85,85
3,100,123,127,4,85,85,95,255
3,100,123,127,5,255,245,95,255
3,100,123,127,6,255,255,255,255
3,010,255,255,0,251,255,127,239
3,010,255,255,1,247,254,255,215
3,010,255,255,2,122,175,255,191
3,010,255,255,3,247,107,237,119
3,010,255,255,4,239,123,118,239
3,010,255,255,5,107,213,106,213
3,010,255,255,6,109,253,183,118
3,110,223,191,0,127,111,239,187
3,110,223,191,1,239,223,237,234
3,110,223,191,2,223,215,127,254
3,110,223,191,3,255,255,87,181
3,110,223,191,4,191,255,95,255
3,110,223,191,5,253,254,223,223
3,110,223,191,6,250,251,191,183
3,001,122,190,0,255,245,187,183
3,001,122,190,1,117,246,190,254
3,001,122,190,2,254,254,173,218
3,001,122,190,3,245,191,255,247
3,001,122,190,4,253,125,255,191
3,001,122,190,5,246,246,221,213
3,001,122,190,6,253,246,254,223
3,101,181,245,0,123,111,111,255
3,101,181,245,1,253,255,175,255
3,101,181,245,2,221,221,239,183
3,101,181,245,3,125,190,250,219
3,101,181,245,4,95,107,235,187
3,101,181,245,5,119,125,251,253
3,101,181,245,6,85,213,122,253
3,011,239,247,0,253,223,127,239
3,011,239,247,1,235,123,111,110
