_source,"# RAW ARMAdillo bytes, 4-byte stage blueprint. DECODE TO Hz/radius UNVERIFIED (golden test failed).",F1_low_Hz,F2_high_Hz,F3_Hz,F4_Hz,air,air_db,air_delta_db,bite,bite_db,bite_delta_db,block,body,body_db,body_delta_db,body_path,boost,bucket,coef_max_abs,coef_rms,composite_db,contrast,corner,corner_BL_F1,corner_BL_F2,corner_BR_F1,corner_BR_F2,corner_TL_F1,corner_TL_F2,corner_TR_F1,corner_TR_F2,corner_peak_db,curve,da1,dc4,dfreq_hz,dr,dry,dtheta_deg,dtheta_rad,evaluated_points,file,float_agc_boost,freq_hz,gain_b0,gd_max_abs_samples,gd_rms_samples,ipa,kind,low,low_db,low_delta_db,low_minus_bite,low_minus_body,mag_max_abs_db,mag_rms_db,max_coeff_err,max_pole_angle_err_deg,max_pole_angle_err_rad,max_pole_radius,max_q,max_r,mean_delta_db,method,mode,morph,name,notes,null_float_vs_packed_roundtrip_db,null_vs_oracle_db,packed_agc_boost,parallel,peak,peak_db,phoneme,point_index,point_name,pole_bw_hz,pole_freq_hz,pole_hz,pole_kind,pole_r,preset,q,radius,rank,rms_delta_db,row,s0_db,s1_db,s2_db,s3_db,s4_db,s5_db,shape_rms_delta_db,source,source_file,stable,stable_points,stage,voice,wav,word_example,x3,zero_hz,zero_kind,zero_r
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# M0_Q0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,20.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,20.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,20.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,21.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,21.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,21.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,21.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,22.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,22.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,22.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
ref\heritage\Ear_Bender.csv,,,,,,,,,,,,,,,,,,,,,12.02,,,,,,,,,,,,,,,,,,,,,,,23.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.48,12.62,-2.29,-5.23,-8.33,-29.28,,,,,,,,,,,,,
