preset,variant,dat_index,source_file,bytes,sha256,duplicate_of
P2k_005_klub_klassik,0,20,ref\p2k_variants\P2k_005_klub_klassik\variant_0_dat_020.bin,240,1d8fcc2bfb416cf091749978ccc6aa134496e3204f243066101e6395ea38e632,
P2k_005_klub_klassik,1,21,ref\p2k_variants\P2k_005_klub_klassik\variant_1_dat_021.bin,240,64623386568c498ef3e8ffaf858be533c97d4fdb2372c4de68d4c0de82525c57,
P2k_005_klub_klassik,2,22,ref\p2k_variants\P2k_005_klub_klassik\variant_2_dat_022.bin,240,9b39ff2f93bfd48fedc9540f33c05c00f9b975fd66444311263e159982365927,
P2k_005_klub_klassik,3,23,ref\p2k_variants\P2k_005_klub_klassik\variant_3_dat_023.bin,240,512d98b0caca4d6443afd04f3ed3c2183b7b8cb34998e5f2676d3aff7f147488,
P2k_009_tb_or_not_tb,0,36,ref\p2k_variants\P2k_009_tb_or_not_tb\variant_0_dat_036.bin,240,dd30b164d4f6eccc3083802c92d65b61926330d5c2d646cc12e08da037cf0a3e,
P2k_009_tb_or_not_tb,1,37,ref\p2k_variants\P2k_009_tb_or_not_tb\variant_1_dat_037.bin,240,e64b8f0ec5eaa6b5aea21e1173b7daed9e662a0eb5218a47bea0c9fa0b222ab8,
P2k_009_tb_or_not_tb,2,38,ref\p2k_variants\P2k_009_tb_or_not_tb\variant_2_dat_038.bin,240,287fc32e07294d134ca6c7918e5671637045f2f198cfc07d292632ea85dd03eb,
P2k_009_tb_or_not_tb,3,39,ref\p2k_variants\P2k_009_tb_or_not_tb\variant_3_dat_039.bin,240,9f6abd6fe6b026f3db0e926091718942690ef2a61f5786e3e5d4e8d37fe903ef,
P2k_015_dj_alkaline,0,60,ref\p2k_variants\P2k_015_dj_alkaline\variant_0_dat_060.bin,240,9e5c0fb221fe64f3e3c55836c16a112283eb437473964faacce4167e9aca6675,
P2k_015_dj_alkaline,1,61,ref\p2k_variants\P2k_015_dj_alkaline\variant_1_dat_061.bin,240,9a70946ebf05d735ea74cc314777281cc2b73c11d07e1e1198fa150c6aa423ce,
P2k_015_dj_alkaline,2,62,ref\p2k_variants\P2k_015_dj_alkaline\variant_2_dat_062.bin,240,c0eb4619cfe4dddbb1a36f0808f69d801549f2bbac7bf03c578379afdfd19a53,
P2k_015_dj_alkaline,3,63,ref\p2k_variants\P2k_015_dj_alkaline\variant_3_dat_063.bin,240,e29f48b6328bb3eb01b7db5fcab589acba35923f4cb52c6165864c661dd59208,
P2k_018_razor_blades,0,72,ref\p2k_variants\P2k_018_razor_blades\variant_0_dat_072.bin,240,7c10092051a335e415c0042e47e36cdb61715e98ad83cd09d069c2491b1fd17c,
P2k_018_razor_blades,1,73,ref\p2k_variants\P2k_018_razor_blades\variant_1_dat_073.bin,240,ef444d57ec75a8ce97d0b4a91119f8f123c37f05a93ce69ef1dd953eef782bae,
P2k_018_razor_blades,2,74,ref\p2k_variants\P2k_018_razor_blades\variant_2_dat_074.bin,240,b25696979f454824837ea12f4e73810c2497063f10918dcb6645506959f430c1,
P2k_018_razor_blades,3,75,ref\p2k_variants\P2k_018_razor_blades\variant_3_dat_075.bin,240,a357c5d06d15d4ada38de9d9649d3c40d3f496d4e361defee9d09cd2c3c636e1,
P2k_022_deep_bouche,0,88,ref\p2k_variants\P2k_022_deep_bouche\variant_0_dat_088.bin,240,3c405fea13b223da8c6ffd7c45cc24e4813c130a70fc3b7a4eccdd5055cfa389,
P2k_022_deep_bouche,1,89,ref\p2k_variants\P2k_022_deep_bouche\variant_1_dat_089.bin,240,94800ddb94da5e5bf1758b58726929731c60795a287c5e40eb2e0006f05eb699,
P2k_022_deep_bouche,2,90,ref\p2k_variants\P2k_022_deep_bouche\variant_2_dat_090.bin,240,d7c6e82a78b105e0be0632a228782795196838f9ce2a23dc40256b7063036935,
P2k_022_deep_bouche,3,91,ref\p2k_variants\P2k_022_deep_bouche\variant_3_dat_091.bin,240,eb8b4783452d0b5e92273f9e95d6f006d743780f7df7c907ba6ed0f1beef5028,
P2k_025_angelz_hairz,0,100,ref\p2k_variants\P2k_025_angelz_hairz\variant_0_dat_100.bin,240,a22beef7486b2ee9fdc7ddf74b3472239aa5e247f6f47ec8cc82ef8aa2f18411,
P2k_025_angelz_hairz,1,101,ref\p2k_variants\P2k_025_angelz_hairz\variant_1_dat_101.bin,240,2fadda8c97df28e1eecc2e4926caf0b70889b184c5c51ea0b8371ee60f24f084,
P2k_025_angelz_hairz,2,102,ref\p2k_variants\P2k_025_angelz_hairz\variant_2_dat_102.bin,240,13d5136babeea4e2094d243c20439c9446518f49520afec57fce8e2d09b900cb,
P2k_025_angelz_hairz,3,103,ref\p2k_variants\P2k_025_angelz_hairz\variant_3_dat_103.bin,240,14f5ec9ea8eecfe7bf1e744591ebf55ae1c044d41b097039bf885539f0907e1f,
P2k_029_lucifer_s_q,0,116,ref\p2k_variants\P2k_029_lucifer_s_q\variant_0_dat_116.bin,240,15864a93bae5616de6c60df7870964f1b1297ebfba7b50185adfae0dad308add,
P2k_029_lucifer_s_q,1,117,ref\p2k_variants\P2k_029_lucifer_s_q\variant_1_dat_117.bin,240,0f07ba2882ddc6ec33e5d890c2d4e4e470b0d98364bbfdf8231a2c0a24ad866e,
P2k_029_lucifer_s_q,2,118,ref\p2k_variants\P2k_029_lucifer_s_q\variant_2_dat_118.bin,240,bcb8140507f08769457523b0f72749c0d66c946fa25083754bfe6fdd3e9fb817,
P2k_029_lucifer_s_q,3,119,ref\p2k_variants\P2k_029_lucifer_s_q\variant_3_dat_119.bin,240,68fc5cbf389cb77f8e71ff9a1bd7d4a151df0302231e8afd3ce3c05d6274f88f,
P2k_031_ear_bender,0,124,ref\p2k_variants\P2k_031_ear_bender\variant_0_dat_124.bin,240,e60733c28649ebfbddf4b14aeaf7c800e379b43a17208447e1c167b3c922220f,
P2k_031_ear_bender,1,125,ref\p2k_variants\P2k_031_ear_bender\variant_1_dat_125.bin,240,f957d05f7e59b1224be910c6bbe33695637c3252bdd1b54f22b25e8f64e90289,
P2k_031_ear_bender,2,126,ref\p2k_variants\P2k_031_ear_bender\variant_2_dat_126.bin,240,6bf73f896f605c996ca3a44385d1387f3999c0660e9e8adf810b8bc9df5811fc,
P2k_031_ear_bender,3,127,ref\p2k_variants\P2k_031_ear_bender\variant_3_dat_127.bin,240,c3614ee36ede9926134cd24d23142e05e67d5f999f94b7483ffa26b235a8ccbf,
P2k_000_ace_of_bass,0,0,ref\p2k_variants\P2k_000_ace_of_bass\variant_0_dat_000.bin,240,0736ea60ddbeea1dc686f1c369bb2e571053e68c3b3c022dd8ff4787e067fa8e,
P2k_000_ace_of_bass,1,1,ref\p2k_variants\P2k_000_ace_of_bass\variant_1_dat_001.bin,240,8fcc2ff7c76da0fe12f539607a2178fb1560336a022f4a99f0864ed94bf00f70,
P2k_000_ace_of_bass,2,2,ref\p2k_variants\P2k_000_ace_of_bass\variant_2_dat_002.bin,240,7df677b570c06b9b5ee8c5728870c0d30279b8612d64f2fb7ce504a6fcd59bc8,
P2k_000_ace_of_bass,3,3,ref\p2k_variants\P2k_000_ace_of_bass\variant_3_dat_003.bin,240,0ec7fcd8cd8fd165bbe5f24b885f08da842a7815067aed9052936163114a7e1b,
P2k_001_megasweepz,0,4,ref\p2k_variants\P2k_001_megasweepz\variant_0_dat_004.bin,240,5371f45cba3ffabf440f76303f77b8f9e55fb17f608e48ebc8fe8cde8de5490d,
P2k_001_megasweepz,1,5,ref\p2k_variants\P2k_001_megasweepz\variant_1_dat_005.bin,240,a903fc039eb859d2f1e7dc7721764f620b6a45c5b7243c988ce50147d64a8838,
P2k_001_megasweepz,2,6,ref\p2k_variants\P2k_001_megasweepz\variant_2_dat_006.bin,240,f5dfb978c4a354342a03f1bc53f5eeeae4fc7eca7857f5afac66b2c246f4c18e,
P2k_001_megasweepz,3,7,ref\p2k_variants\P2k_001_megasweepz\variant_3_dat_007.bin,240,eb1a7991aca540110f9d0ba9b1455cd5453e41c8c161fc025a54df23acde5588,
P2k_003_millennium,0,12,ref\p2k_variants\P2k_003_millennium\variant_0_dat_012.bin,240,f17179f853655b31b53a99d250d10a980a34204921f8cc079d30453a656e3c3c,
P2k_003_millennium,1,13,ref\p2k_variants\P2k_003_millennium\variant_1_dat_013.bin,240,1c63252eade519d9820ffdceba1b9825b0b4d16b5dabc7677c1bcc4baddbf0b3,
P2k_003_millennium,2,14,ref\p2k_variants\P2k_003_millennium\variant_2_dat_014.bin,240,34b9560deecdf805b8fb7e937d0cd237ddaa410764d791587f3078a559d1d254,
P2k_003_millennium,3,15,ref\p2k_variants\P2k_003_millennium\variant_3_dat_015.bin,240,7b10149b38169084d59c031131097e635a63b903ff8da8167f60c9f1616cac5d,
P2k_004_meaty_gizmo,0,16,ref\p2k_variants\P2k_004_meaty_gizmo\variant_0_dat_016.bin,240,6fe7168230e6d67c6244bf5256552055e3dac108e973dbfb488cd219454978f1,
P2k_004_meaty_gizmo,1,17,ref\p2k_variants\P2k_004_meaty_gizmo\variant_1_dat_017.bin,240,cb74f9308dbddfa3692084dfdf8802f2ef08de1f79bd86f9c33fe60bde36f8a7,
P2k_004_meaty_gizmo,2,18,ref\p2k_variants\P2k_004_meaty_gizmo\variant_2_dat_018.bin,240,8d68720fd1364f8140fcb8b211616083497c260133ca81415d53a06a9c08b7dd,
P2k_004_meaty_gizmo,3,19,ref\p2k_variants\P2k_004_meaty_gizmo\variant_3_dat_019.bin,240,fd44f13150a06b4d2696e703bffb252c7000c5ad45908181d7f657e096aa6f5d,
